text,href
Restaurants,https://wanderlog.com/list/geoCategory/205480/where-to-eat-best-restaurants-in-east-london
Attractions,https://wanderlog.com/list/geoCategory/1593910/top-things-to-do-and-attractions-in-east-london
Family restaurants,https://wanderlog.com/list/geoCategory/557630/best-family-restaurants-in-east-london
Fast food,https://wanderlog.com/list/geoCategory/487200/best-fast-food-restaurants-in-east-london
